# En        Pf1        Pf2        Pf3        Pf4        TKE1       TKE2       TKE3       TKE4       Exf1       Exf2       Exf3       Exf4       Epre1      Epre2      Epre3      Epre4
 1.3000e+01 1.0559e-01 3.3865e-01 5.5577e-01 1.0271e-15 1.6877e+02 1.6900e+02 1.6880e+02 1.6880e+02 1.9420e+01 1.1315e+01 6.1165e+00 0.0000e+00 0.0000e+00 1.2749e+00 1.5279e+00 2.1090e-01
 1.3500e+01 9.3064e-02 2.9680e-01 6.1013e-01 5.6856e-12 1.6868e+02 1.6891e+02 1.6878e+02 1.6880e+02 1.9918e+01 1.1735e+01 6.3523e+00 0.0000e+00 0.0000e+00 1.3051e+00 1.7837e+00 6.0422e-01
 1.4000e+01 8.8485e-02 2.7875e-01 6.3276e-01 8.1193e-11 1.6859e+02 1.6883e+02 1.6876e+02 1.6880e+02 2.0416e+01 1.2147e+01 6.5833e+00 0.0000e+00 0.0000e+00 1.3366e+00 2.0398e+00 1.1054e+00
 1.4500e+01 8.9198e-02 2.7641e-01 6.3439e-01 3.5533e-10 1.6850e+02 1.6875e+02 1.6874e+02 1.6880e+02 2.0914e+01 1.2552e+01 6.8209e+00 0.0000e+00 0.0000e+00 1.3666e+00 2.2828e+00 1.6070e+00
 1.5000e+01 9.3329e-02 2.8393e-01 6.2275e-01 1.0063e-09 1.6841e+02 1.6867e+02 1.6869e+02 1.6880e+02 2.1412e+01 1.2953e+01 7.0805e+00 2.4420e+00 0.0000e+00 1.3932e+00 2.4948e+00 2.1048e+00
 1.5500e+01 9.9207e-02 2.9631e-01 6.0449e-01 2.4209e-09 1.6832e+02 1.6859e+02 1.6864e+02 1.6880e+02 2.1910e+01 1.3352e+01 7.3783e+00 2.6978e+00 0.0000e+00 1.4161e+00 2.6572e+00 2.5981e+00
 1.6000e+01 1.0512e-01 3.0994e-01 5.8494e-01 1.6329e-08 1.6823e+02 1.6851e+02 1.6857e+02 1.6880e+02 2.2408e+01 1.3732e+01 7.7230e+00 3.1485e+00 0.0000e+00 1.4363e+00 2.7576e+00 3.0837e+00
 1.6500e+01 1.1048e-01 3.2080e-01 5.6872e-01 6.6712e-07 1.6814e+02 1.6843e+02 1.6849e+02 1.6880e+02 2.2906e+01 1.4124e+01 8.1170e+00 3.6350e+00 0.0000e+00 1.4544e+00 2.7983e+00 3.5538e+00
 1.7000e+01 1.1458e-01 3.2811e-01 5.5729e-01 2.5059e-05 1.6805e+02 1.6836e+02 1.6840e+02 1.6880e+02 2.3404e+01 1.4513e+01 8.5481e+00 4.0651e+00 0.0000e+00 1.4713e+00 2.7963e+00 3.9076e+00
 1.7500e+01 1.1728e-01 3.3191e-01 5.5036e-01 4.5234e-04 1.6796e+02 1.6828e+02 1.6831e+02 1.6880e+02 2.3902e+01 1.4897e+01 8.9992e+00 4.4218e+00 0.0000e+00 1.4875e+00 2.7752e+00 2.9918e+00
 1.8000e+01 1.1856e-01 3.3190e-01 5.4567e-01 3.8700e-03 1.6787e+02 1.6820e+02 1.6821e+02 1.6880e+02 2.4400e+01 1.5279e+01 9.4561e+00 4.7296e+00 0.0000e+00 1.5031e+00 2.7540e+00 1.5278e+00
 1.8500e+01 1.1776e-01 3.2642e-01 5.3776e-01 1.8064e-02 1.6778e+02 1.6813e+02 1.6811e+02 1.6880e+02 2.4898e+01 1.5658e+01 9.9092e+00 4.9918e+00 0.0000e+00 1.5184e+00 2.7429e+00 1.3821e+00
 1.9000e+01 1.1389e-01 3.1308e-01 5.1991e-01 5.3119e-02 1.6769e+02 1.6805e+02 1.6802e+02 1.6880e+02 2.5396e+01 1.6032e+01 1.0351e+01 5.2163e+00 0.0000e+00 1.5334e+00 2.7460e+00 1.5876e+00
 1.9500e+01 1.0696e-01 2.9173e-01 4.8938e-01 1.1193e-01 1.6761e+02 1.6798e+02 1.6792e+02 1.6878e+02 2.5894e+01 1.6406e+01 1.0780e+01 5.4208e+00 0.0000e+00 1.5482e+00 2.7642e+00 1.8656e+00
 2.0000e+01 9.8165e-02 2.6589e-01 4.4983e-01 1.8612e-01 1.6752e+02 1.6790e+02 1.6783e+02 1.6877e+02 2.6392e+01 1.6777e+01 1.1192e+01 5.6210e+00 0.0000e+00 1.5629e+00 2.7965e+00 2.1588e+00
 2.1000e+01 8.0571e-02 2.1613e-01 3.6727e-01 3.3602e-01 1.6734e+02 1.6777e+02 1.6767e+02 1.6871e+02 2.7321e+01 1.7461e+01 1.1955e+01 6.0241e+00 0.0000e+00 1.5911e+00 2.8917e+00 2.7353e+00
 2.2000e+01 6.9572e-02 1.8466e-01 3.0854e-01 4.3723e-01 1.6716e+02 1.6762e+02 1.6750e+02 1.6861e+02 2.8317e+01 1.8192e+01 1.2686e+01 6.5207e+00 0.0000e+00 1.6196e+00 3.0023e+00 3.2163e+00
 2.3000e+01 6.3148e-02 1.6601e-01 2.6959e-01 5.0125e-01 1.6698e+02 1.6747e+02 1.6735e+02 1.6849e+02 2.9313e+01 1.8922e+01 1.3394e+01 7.1000e+00 0.0000e+00 1.6476e+00 3.1027e+00 3.5881e+00
 2.4000e+01 5.9345e-02 1.5359e-01 2.4367e-01 5.4340e-01 1.6680e+02 1.6731e+02 1.6720e+02 1.6835e+02 3.0308e+01 1.9752e+01 1.4085e+01 7.7636e+00 0.0000e+00 1.6752e+00 3.1848e+00 3.8521e+00
 2.5000e+01 5.6800e-02 1.4596e-01 2.2500e-01 5.7224e-01 1.6662e+02 1.6716e+02 1.6705e+02 1.6819e+02 3.1304e+01 2.0478e+01 1.4769e+01 8.5013e+00 0.0000e+00 1.7024e+00 3.2520e+00 4.0366e+00
 2.6000e+01 5.4962e-02 1.4033e-01 2.1103e-01 5.9368e-01 1.6644e+02 1.6702e+02 1.6690e+02 1.6802e+02 3.2300e+01 2.1202e+01 1.5443e+01 9.2935e+00 0.0000e+00 1.7291e+00 3.3100e+00 4.1784e+00
 2.7000e+01 5.3528e-02 1.3584e-01 2.0003e-01 6.1060e-01 1.6626e+02 1.6687e+02 1.6675e+02 1.6784e+02 3.3296e+01 2.1927e+01 1.6112e+01 1.0119e+01 0.0000e+00 1.7555e+00 3.3632e+00 4.3033e+00
 2.8000e+01 5.2340e-02 1.3204e-01 1.9103e-01 6.2458e-01 1.6608e+02 1.6673e+02 1.6660e+02 1.6766e+02 3.4291e+01 2.2655e+01 1.6775e+01 1.0959e+01 0.0000e+00 1.7815e+00 3.4140e+00 4.4223e+00
 2.9000e+01 5.1298e-02 1.2876e-01 1.8350e-01 6.3644e-01 1.6590e+02 1.6658e+02 1.6646e+02 1.6747e+02 3.5287e+01 2.3380e+01 1.7431e+01 1.1803e+01 0.0000e+00 1.8071e+00 3.4636e+00 4.5376e+00
 3.0000e+01 5.0369e-02 1.2578e-01 1.7697e-01 6.4689e-01 1.6572e+02 1.6644e+02 1.6632e+02 1.6728e+02 3.6283e+01 2.4109e+01 1.8083e+01 1.2645e+01 0.0000e+00 1.8324e+00 3.5126e+00 4.6484e+00
